组合,关联度系数
"['赤白带不止', '头痛']",0.013240031683586895
"['腹痛', '腰酸']",0.002265158463568895
"['瘦弱', '目眩']",0.011130114942133451
"['腹痛', '腰痛']",0.0062718922090191365
"['白带', '淋沥不断']",1.048992663721382e-05
"['乏力', '头晕']",0.002129632321406505
"['赤白带不止', '骨节疼痛']",0.004258993051753368
"['腹痛', '脉沉']",0.013329063224331361
"['瘦弱', '腹胀']",0.013984768567861128
"['脉沉', '短气']",0.04440809905326082
"['白带', '腰酸']",0.016629951532751375
"['面色萎黄', '目眩']",0.010626138623019976
"['赤白带不止', '腰痛']",3.6742042497373006e-05
"['白带', '久泄']",1.048992663721382e-05
"['白带', '哮喘']",0.0016631890028798724
"['劳倦', '咳嗽']",0.008000929898140163
"['饮食减少', '经闭']",0.0070761062222920446
"['面色萎黄', '淋沥不断']",0.01161262274084418
"['白带', '心痛']",0.00930340226975257
"['不孕', '半身不遂']",0.014511068282171469
"['瘦弱', '咳嗽']",0.006790839140926486
"['不孕', '小便浊败']",0.004610658188374694
"['白带', '短气']",0.0006903927837590418
"['白带', '中风']",0.0007272248521681401
"['劳倦', '短气']",0.013451722004557687
"['白带', '梦遗']",4.312430101727216e-05
"['盗汗', '惊悸']",0.037376444390307184
"['赤白带不止', '经漏']",0.0006007005638880569
"['白带', '昏迷']",0.0027711126325249413
"['四肢冷', '昏迷']",0.04352669206550275
"['乏力', '短气']",0.009696650206628465
"['腹痛', '盗汗']",0.0033208720580868434
"['呕吐', '中风']",0.038644880809402066
"['白带', '腰腿骨节疼痛']",0.0007272248521681401
"['乏力', '咳嗽']",0.004848388738620812
"['劳倦', '久泄']",0.013451722004557687
"['头晕', '心烦']",0.005124707832216746
"['乏力', '腰酸']",0.0008537341073437954
"['赤白带不止', '手足麻木']",0.005956479825858785
"['白带', '经漏']",0.001620550836921697
"['腰痛', '四肢冷']",0.021041493173910242
"['腹痛', '心烦']",0.0007127004401527026
"['腹痛', '经闭']",0.004940875701495151
"['乏力', '头旋目眩']",0.011582534333101302
"['四肢冷', '脉沉']",0.028016438832449198
"['白带', '腰背疼痛']",0.0007272248521681401
"['子宫冷', '小便浊败']",0.004610658188374694
"['腹痛', '短气']",0.008706782006009495
"['赤白带不止', '腹冷']",0.0006007005638880569
"['瘦弱', '饮食不化']",0.019708574235316467
"['白带', '遗尿']",0.0006903927837590418
"['劳倦', '舌淡']",0.01800349974260118
"['腹痛', '带下色红']",0.0021487349913632547
"['乏力', '经闭']",0.0057763651894834345
"['白带', '腰膝疼']",0.0007272248521681401
"['赤白带不止', '头旋目眩']",0.0022442728351823593
"['心烦', '烦闷']",0.014996729757867255
"['子宫冷', '畏寒']",0.010509941191161554
"['饮食减少', '咳嗽']",0.006079981800800827
"['劳倦', '小便浊败']",0.002768160030148681
"['白带', '赤白痢']",0.00930340226975257
"['赤白带不止', '目眩']",0.00012817772826445584
"['小便浊败', '身凉']",0.005579066677554478
"['面色萎黄', '头晕']",0.0011460761052253243
"['白带', '吐血']",0.00930340226975257
"['瘦弱', '子宫冷']",0.0013383107000942696
"['白带', '脐下冷痛']",0.0027711126325249413
"['饮食减少', '脉沉']",0.009587744720846114
"['劳倦', '腰酸']",0.002768160030148681
"['乏力', '身凉']",0.0008537341073437954
"['饮食减少', '大崩不止']",0.0015287750118055943
"['面色萎黄', '头旋目眩']",0.013581996800848928
"['饮食减少', '四肢冷']",0.009587744720846114
"['面色萎黄', '心烦']",0.002098253829860286
"['大崩不止', '咳嗽']",0.011740888060662868
"['乏力', '淋沥不断']",0.009696650206628465
"['腹冷', '脐下冷痛']",0.04352669206550275
"['白带', '手足麻木']",0.0007272248521681401
"['赤白带不止', '便脓血']",0.0022442728351823593
"['乏力', '不孕']",0.0004394990878974214
"['小便利数', '遗尿']",0.02533506623948173
"['面色萎黄', '四肢冷']",0.009984735409970913
"['咳嗽', '头痛']",0.03385143342682506
"['瘦弱', '口苦']",0.014029300850973536
"['面色萎黄', '身凉']",0.0017379010956108942
"['白带', '头旋目眩']",0.00011770190297410998
"['瘦弱', '不孕']",0.0013383107000942696
"['白带', '经水不止']",0.0007272248521681401
"['小便利数', '四肢冷']",0.013476217599702633
"['饮食减少', '短气']",0.005220234397551149
"['带下色黄', '苔黄']",0.029461995899337262
"['身凉', '多梦']",0.021267325308685914
"['劳倦', '心烦']",0.0007695721964667834
"['赤白带不止', '吐血']",0.0060576525411444315
"['大崩不止', '血淋']",0.021267325308685914
"['大崩不止', '呕吐']",0.008341448218208314
"['赤白带不止', '发热']",0.0016691794011879368
"['赤白带不止', '腰酸']",0.0068754895425209295
"['饮食减少', '身凉']",0.00012786090684591134
"['咳嗽', '哮喘']",0.018038424613757265
"['面色萎黄', '盗汗']",0.0019473497784838756
"['白带', '便溏']",0.0013947906327100856
"['咳嗽', '呕吐']",0.013476217599702633
"['短气', '自汗']",0.03196811639480643
"['四肢冷', '霍乱']",0.026441427295758796
"['大崩不止', '腹胀']",0.006483437000512293
"['腹痛', '乏力']",0.0035326463548850384
"['小便浊败', '梦遗']",0.012530148392996376
"['哮喘', '中风']",0.028428265394425167
"['腹痛', '烦闷']",0.0021280795768512384
"['乏力', '舌淡']",0.0067723831196147
"['瘦弱', '头晕']",8.09007320178301e-05
"['不孕', '呕吐']",0.007454722449320383
"['劳倦', '经闭']",0.004013436951872729
"['赤白带不止', '心痛']",0.0060576525411444315
"['腰酸', '目眩']",0.005057477643962249
"['赤白带不止', '恶心']",0.0007425836820783571
"['劳倦', '腰痛']",0.0023382809489894685
"['乏力', '子宫冷']",3.3968952903085103e-05
"['赤白带不止', '呕吐']",2.6364831109515485e-05
"['劳倦', '身凉']",0.0005793922578789523
"['面色萎黄', '惊悸']",0.01260635138493571
"['子宫冷', '腹冷']",0.007454722449320383
"['饮食减少', '腹胀']",0.0027933895598261094
"['腰痛', '短气']",0.013118093855962576
"['头晕', '心悸']",0.011548088121775657
"['面色萎黄', '腰痛']",0.0015364739711173359
"['白带', '恶疮']",0.0013947906327100856
"['瘦弱', '久泄']",0.005766550712090868
"['不孕', '经漏']",0.007454722449320383
"['小便浊败', '哮喘']",0.012530148392996376
"['腹痛', '腹冷']",0.0028063194177623263
"['瘦弱', '身凉']",0.00026427261394246226
"['目眩', '眩晕']",0.03453656334758476
"['身凉', '昏迷']",0.01732726300219367
"['赤白带不止', '赤白痢']",0.0060576525411444315
"['心烦', '目眩']",0.005480978130429415
"['白带', '心腹疼痛']",8.759206388442298e-05
"['乏力', '苔白']",0.0033698322766994027
"['舌淡', '便溏']",0.035517072852970705
"['劳倦', '头晕']",0.0002914382384807679
"['赤白带不止', '梦遗']",0.0007425836820783571
"['腹痛', '自汗']",0.01386470460175071
"['白带', '眩晕']",0.006959144548374319
"['头旋目眩', '眩晕']",0.04201434388555969
"['饮食减少', '不孕']",1.5024349049097552e-05
"['白带', '心热']",0.0013947906327100856
"['白带', '脚气']",0.00012524737626185
"['不孕', '腰痛']",0.0037385958295873545
"['白带', '小便如泔']",0.006959144548374319
"['瘦弱', '短气']",0.005766550712090868
"['乏力', '淋浊']",0.011051030152085639
"['瘦弱', '烦闷']",0.0039392945283101
"['乏力', '久泄']",0.004264985011601108
"['身凉', '四肢冷']",0.008341448218208314
"['白带', '舌淡']",0.0007177283101046372
"['头晕', '盗汗']",0.004299767251960407
"['劳倦', '半身不遂']",0.005644202983054403
"['哮喘', '吐血']",0.035517072852970705
"['苔白', '便溏']",0.030548894027951023
"['头晕', '四肢冷']",0.007454722449320383
"['白带', '发热']",8.759206388442298e-05
"['头痛', '偏头痛']",0.04629216585500946
"['腹胀', '饮食不化']",0.021225973731614667
"['呕吐', '霍乱']",0.026441427295758796
"['子宫冷', '阴痛']",0.004935996165246093
"['乏力', '大崩不止']",3.7258449818722283e-06
"['赤白带不止', '耳鸣']",2.152372851804696e-05
"['劳倦', '不孕']",0.0002914382384807679
"['身凉', '久泄']",0.009499790177873169
"['赤白带不止', '哮喘']",0.0007425836820783571
"['饮食减少', '腹冷']",0.004257543552010135
"['腰痛', '脉沉']",0.011865603386851942
"['乏力', '湿毒疮']",0.02269599611341394
"['瘦弱', '肢节少力']",0.012951598739672998
"['瘦弱', '胸胀胁满']",0.012951598739672998
"['口苦', '小便黄赤']",0.04201434388555969
"['白带', '胸闷']",0.0013947906327100856
"['小便浊败', '咳嗽']",0.005726167752886702
"['目眩', '淋沥不断']",0.013901772952741087
"['目眩', '头旋目眩']",0.015382111948926358
"['瘦弱', '呕吐']",0.0047705387579008995
"['劳倦', '盗汗']",0.0028166948669952063
"['大崩不止', '半身不遂']",0.008341448218208314
"['带下色红', '似血非血']",0.03284930563058486
"['白带', '血淋']",0.0013947906327100856
"['劳倦', '手足麻木']",0.01145701775201613
"['口苦', '苔黄']",0.029461995899337262
"['大崩不止', '畏寒']",0.005726167752886702
"['腹痛', '经漏']",0.0028063194177623263
"['身凉', '半身不遂']",0.008341448218208314
"['便脓血', '吐血']",0.0335991177135056
"['饮食减少', '心热']",0.016021999328573067
"['白带', '耳鸣']",0.0031430895617861054
"['瘦弱', '大崩不止']",0.00026427261394246226
"['劳倦', '淋沥不断']",0.006689651332962565
"['赤白带不止', '恶疮']",0.0060576525411444315
"['脉沉', '舌淡']",0.021307464391675857
"['乏力', '腰痛']",0.0008255313018671329
"['中风', '霍乱']",0.033681084436953196
"['头晕', '呕吐']",0.007454722449320383
"['腹痛', '便脓血']",0.004707918746480688
"['饮食减少', '子宫冷']",1.5024349049097552e-05
"['腹痛', '呕吐']",0.0028063194177623263
"['面色萎黄', '小便利数']",0.00243394534803687
"['腰酸', '耳鸣']",0.009499790177873169
"['盗汗', '发热']",0.019331092587981935
"['赤白带不止', '烦闷']",0.00020103727144160644
"['目眩', '耳鸣']",0.013901772952741087
"['乏力', '饮食不化']",0.008585415042657196
"['盗汗', '四肢冷']",0.0126338169284273
"['心烦', '发热']",0.015153593762810502
"['呕吐', '恶心']",0.021307464391675857
"['腹痛', '咳嗽']",0.0011433590081013634
"['四肢冷', '短气']",0.017937501519576737
"['腰痛', '自汗']",0.025350586912166406
"['乏力', '盗汗']",0.0011502483102804328
"['饮食减少', '发热']",0.009741484270251732
"['劳倦', '耳鸣']",0.006689651332962565
"['舌红', '小便黄赤']",0.04629216585500946
"['劳倦', '苔白']",0.005644202983054403
"['腰酸', '心烦']",0.002310520729989496
"['身凉', '小便如泔']",0.029486280569360757
"['劳倦', '子宫冷']",0.0002914382384807679
"['头晕', '舌红']",0.013589398148042497
"['白带', '脉缓']",0.006959144548374319
"['苔白', '脉缓']",0.03893458118637069
"['白带', '烦闷']",0.0065140308074264075
"['面色萎黄', '经水不止']",0.010057978771140175
"['面色萎黄', '久泄']",0.005487075669487695
"['乏力', '脚膝无力']",0.014733519367659598
"['身凉', '腰背疼痛']",0.014602970839451446
"['心烦', '口苦']",0.011390209658525163
"['腹痛', '发热']",0.007817455493355774
"['子宫冷', '久泄']",0.008581152248161639
"['不孕', '畏寒']",0.004935996165246093
"['面色萎黄', '不孕']",4.1099330038929516e-05
"['苔白', '短气']",0.017937501519576737
"['乏力', '足膝红肿']",0.014733519367659598
"['短气', '心悸']",0.02268194010989183
"['带下色红', '胁痛']",0.02053657172010198
"['心烦', '咳嗽']",0.006165794719660778
"['赤白带不止', '昏迷']",0.0032527867897180762
"['白带', '饮食不化']",8.759206388442298e-05
"['腰痛', '发热']",0.018501393529360477
"['苔黄', '小便黄赤']",0.04928773094298451
"['半身不遂', '手足麻木']",0.02354905273107799
"['白带', '涕']",0.006959144548374319
"['赤白带不止', '腰背疼痛']",0.0016691794011879368
"['面色萎黄', '手足麻木']",0.010057978771140175
"['面色萎黄', '便溏']",0.01637123668846363
"['遗尿', '多尿']",0.04036860196333533
"['白带', '目赤']",0.0013947906327100856
"['瘦弱', '心腹疼痛']",0.01038689020946143
"['赤白带不止', '经闭']",0.0005120727595818719
"['心烦', '耳鸣']",0.01000324260745794
"['舌红', '苔黄']",0.033681084436953196
"['瘦弱', '淋沥不断']",0.005766550712090868
"['足膝红肿', '湿毒疮']",0.05349798662815827
"['乏力', '脉沉']",0.0033698322766994027
"['饮食减少', '霍乱']",0.012273449941461179
"['口苦', '舌红']",0.026539849268594512
"['大崩不止', '身凉']",0.0020018775271151146
"['劳倦', '头旋目眩']",0.007948416141021375
"['心烦', '腰痛']",0.004871009596001508
"['乏力', '半身不遂']",0.0033698322766994027
"['呕吐', '饮食不化']",0.011573645307837888
"['饮食减少', '骨节疼痛']",0.001298099577804801
"['劳倦', '腹胀']",0.000816275301116054
"['腰痛', '霍乱']",0.010050565280305568
"['便脓血', '恶疮']",0.01713457936657717
"['哮喘', '赤白痢']",0.01827796320249106
"['半身不遂', '湿痰']",0.008352561302177874
"['烦闷', '苔黄']",0.012415390875014198
"['腹痛', '霍乱']",0.0035132289508004177
"['大崩不止', '便脓血']",0.004218534662517537
"['面色萎黄', '胁痛']",0.004848209128549108
"['偏头痛', '无名肿毒']",0.037192666255065954
"['赤白带不止', '中风']",1.4181417673397867e-05
"['白带', '小腹疼痛']",0.0003595530306863548
"['带下色黄', '舌红']",0.01336174418234154
"['赤白带不止', '无名肿毒']",0.008733058854442421
"['盗汗', '健忘']",0.015702718197672827
"['哮喘', '噎膈']",0.02859513940520797
"['白带', '清稀如涕']",0.0003595530306863548
"['头痛', '目赤']",0.019640359697692705
"['不孕', '倒产']",0.01875659490346515
"['身凉', '便脓血']",0.004218534662517537
"['白带', '无名肿毒']",0.004627247034082016
"['小便利数', '经水不止']",0.00957568394799524
"['小便黄赤', '大便燥结']",0.037192666255065954
"['骨节疼痛', '赤白痢']",0.01615025183467031
"['面色萎黄', '呕吐']",0.0010006755133133982
"['盗汗', '腰背疼痛']",0.009030790582168768
"['饮食减少', '面色不荣']",0.01592734805374524
"['腹痛', '骨节疼痛']",0.0006266090759777798
"['白带', '噎膈']",0.004627247034082016
"['乏力', '涕']",0.008372344705721402
"['哮喘', '精神失常']",0.02859513940520797
"['身凉', '腰腿骨节疼痛']",0.006205716750592005
"['面色萎黄', '肠鸣']",0.016167041448566843
"['带下色红', '心火不静']",0.02165009993348649
"['腹痛', '胸胀胁满']",0.0035132289508004177
"['咳嗽', '中风']",0.00957568394799524
"['瘦弱', '发热']",0.0037808554173612285
"['耳鸣', '舌红']",0.012407188716496709
"['小便浊败', '小便利数']",0.001597572338149722
"['腹痛', '咳逆上气']",0.014433921994875587
"['腹痛', '饮食不化']",0.0023974088334859367
"['饮食减少', '面浮']",0.01592734805374524
"['面色萎黄', '腹冷']",0.0010006755133133982
"['腹冷', '久泄']",0.008352561302177874
"['白带', '霍乱']",0.0007946347073324311
"['乏力', '心腹疼痛']",0.002799933941922017
"['吐血', '噎膈']",0.03393588807636655
"['乏力', '舌干']",0.015038161539207562
"['劳倦', '不寐']",0.010397877874444461
"['腹痛', '不孕']",0.0017258750816715462
"['面色萎黄', '腰酸']",0.0002803803095826618
"['盗汗', '腹冷']",0.005281116332400859
"['饮食减少', '唇口青黑']",0.009195758908125018
"['身凉', '阴痛']",0.001597572338149722
"['乏力', '呕吐']",0.0005383087387492713
"['苔白', '心悸']",0.01030056871749413
"['遗尿', '腰腿骨节疼痛']",0.012407188716496709
"['饮食减少', '昏迷']",0.004657524095275645
"['劳倦', '腰膝疼']",0.004382418233338514
"['淋沥不断', '心腹疼痛']",0.012407188716496709
"['白带', '口苦']",0.005539753571056405
"['淋沥不断', '头旋目眩']",0.010050273348987726
"['劳倦', '脚气']",0.005697331077714196
"['舌淡', '脉缓']",0.02146188989862105
"['大崩不止', '心烦']",0.0002253400416138973
"['头晕', '小便利数']",0.0012273214143767586
"['舌淡', '清稀如涕']",0.02146188989862105
"['身凉', '霍乱']",0.0076320939582735225
"['咳嗽', '手足麻木']",0.00957568394799524
"['胸胀胁满', '胁痛']",0.019132447340126396
"['脉滑', '大便燥结']",0.03393588807636655
"['心烦', '带下色红']",0.000968248319475562
"['带下色红', '呕吐']",0.0044447111165324404
"['心烦', '腹胀']",0.0021906005409849105
"['目赤', '难产']",0.02675892854910049
"['小便浊败', '吐血']",0.009582041597107405
"['带下色红', '淋沥不断']",0.005125146705830308
"['脚膝无力', '湿毒疮']",0.02675892854910049
"['小便浊败', '头痛']",0.006205716750592005
"['腹痛', '胁痛']",0.0035132289508004177
"['小便利数', '心悸']",0.008348072847126742
"['腹痛', '昏迷']",0.0035132289508004177
"['面色萎黄', '腰膝疼']",0.0035985003388143144
"['发热', '昏迷']",0.017463018577223904
"['小便黄赤', '面色微红']",0.037192666255065954
"['白带', '膈气']",0.004627247034082016
"['烦闷', '短气']",0.007659663500784841
"['目赤', '噎膈']",0.03393588807636655
"['白带', '肢体浮肿']",0.004627247034082016
"['苔黄', '胁痛']",0.019132447340126396
"['盗汗', '唇口青黑']",0.015702718197672827
"['赤白带不止', '心腹疼痛']",1.4181417673397867e-05
"['烦闷', '带下色黄']",0.008538744651992947
"['面色萎黄', '耳鸣']",0.0014224340492972054
"['头晕', '短气']",0.00299582123714226
"['呕吐', '心气不足']",0.018426349459867597
"['白带', '面浮']",0.004627247034082016
"['烦闷', '舌红']",0.010835282016969594
"['咳嗽', '便脓血']",0.007340011515440004
"['乏力', '眩晕']",0.008372344705721402
"['不孕', '湿痰']",0.00299582123714226
"['腰痛', '半身不遂']",0.0048432623788364215
"['劳倦', '脉缓']",0.010397877874444461
"['劳倦', '便溏']",0.007536282759963042
"['目眩', '四肢冷']",0.005281116332400859
"['腹痛', '头痛']",0.0023974088334859367
"['面色萎黄', '烦闷']",0.0006758343962206537
"['哮喘', '饮食不化']",0.014475472936279377
"['久泄', '胸胀胁满']",0.01401730639970275
"['舌红', '面色微红']",0.029986845481917115
"['腹痛', '身凉']",0.0011623278022730998
"['昏迷', '唇口青黑']",0.024537707985033824
"['赤白带不止', '偏头痛']",0.0029405247924940703
"['腹痛', '头晕']",0.0017258750816715462
"['子宫冷', '遗尿']",0.00299582123714226
"['身凉', '五色带下']",0.01255416818203614
"['盗汗', '经闭']",0.004126713826049455
"['乏力', '心热']",0.005657791211711061
"['身凉', '畏寒']",0.001597572338149722
"['中风', '噎膈']",0.029986845481917115
"['白带', '子死腹中']",5.7945495801403624e-05
"['畏寒', '腹胀']",0.004578999104574155
"['盗汗', '目眩']",0.003231192757090884
"['烦闷', '口干']",0.017643061949642658
"['大崩不止', '腰痛']",0.0010259282390095992
"['四肢冷', '呕吐']",0.0075795176255782915
"['呕吐', '短气']",0.008352561302177874
"['短气', '舌淡']",0.011119077883568973
"['不孕', '大崩不止']",3.7736677010680175e-05
"['骨节疼痛', '头痛']",0.012407188716496709
"['盗汗', '经漏']",0.005281116332400859
"['烦闷', '大便燥结']",0.024717232523927213
"['饮食减少', '胸胀胁满']",0.004657524095275645
"['不孕', '中风']",0.005611115947600165
"['便脓血', '饮食不化']",0.01336174418234154
"['带下色黄', '小便黄赤']",0.020303765459181944
"['哮喘', '目赤']",0.01827796320249106
"['便脓血', '目赤']",0.01713457936657717
"['不孕', '小便如泔']",0.011865422125314218
"['饮食减少', '心悸']",0.002514646825716782
"['不孕', '遗尿']",0.00299582123714226
"['腹痛', '心痛']",0.005153959613370951
"['大崩不止', '口苦']",0.004218534662517537
"['赤白带不止', '淋沥不断']",0.0007760335287019249
"['饮食减少', '畏寒']",0.00019175535040505398
"['腹痛', '狂言']",0.007818197813723338
"['白带', '偏头痛']",0.0003595530306863548
"['经闭', '经漏']",0.00630138756018217
"['子宫冷', '腰痛']",0.0007210215932007547
"['昏迷', '心气不足']",0.024537707985033824
"['饮食减少', '目眩']",8.27603389234044e-05
"['烦闷', '呕吐']",0.006901897537604507
"['饮食减少', '舌淡']",0.002514646825716782
"['身凉', '骨节疼痛']",0.003495087537801256
"['心痛', '赤白痢']",0.023531122409372635
"['腰痛', '久泄']",0.005539291338567898
"['苔黄', '脉滑']",0.021324471707396375
"['苔白', '喜暖']",0.018426349459867597
"['盗汗', '咳逆上气']",0.02273196455260068
"['白带', '跌打损伤']",0.004627247034082016
"['骨节疼痛', '足膝红肿']",0.01615025183467031
"['腹痛', '头旋目眩']",0.0010354081139293259
"['阴痒', '阴肿']",0.037192666255065954
"['瘦弱', '心痛']",0.00683733515598528
"['目赤', '偏头痛']",0.02675892854910049
"['腹痛', '久泄']",0.0006266090759777798
"['久泄', '腰背疼痛']",0.012407188716496709
"['带下色黄', '口苦']",0.010974819989671092
"['腰酸', '遗尿']",0.003495087537801256
"['腹胀', '半身不遂']",0.00630138756018217
"['腹痛', '惊悸']",0.0035132289508004177
"['饮食减少', '四肢酸痛']",0.01592734805374524
"['腰痛', '小便利数']",0.003261217452484755
"['头旋目眩', '腰背疼痛']",0.01336174418234154
"['发热', '惊悸']",0.017463018577223904
"['腹痛', '腰膝疼']",0.0023974088334859367
"['面色萎黄', '腹胀']",0.00042960998853680543
"['小便浊败', '大崩不止']",0.00014314575215756964
"['骨节疼痛', '湿毒疮']",0.019304639517165878
"['便脓血', '中暑']",0.02742233171896774
"['经闭', '呕吐']",0.00630138756018217
"['不孕', '经闭']",0.0015580130353881616
"['身凉', '盗汗']",0.0012886051896096595
"['咳嗽', '吐血']",0.013198470261702455
"['目眩', '心腹疼痛']",0.009030790582168768
"['久泄', '霍乱']",0.01401730639970275
"['饮食不化', '咳逆上气']",0.029986845481917115
"['经闭', '子死腹中']",0.013826819092021547
"['盗汗', '腹胀']",0.004126713826049455
"['带下色红', '烦闷']",0.003860079476027234
"['瘦弱', '半身不遂']",0.0011166800300792534
"['中风', '口噤']",0.029986845481917115
"['劳倦', '心痛']",0.007536282759963042
"['瘦弱', '畏寒']",0.00031401630507454925
"['淋浊', '足膝红肿']",0.021324471707396375
"['带下色黄', '大便燥结']",0.02742233171896774
"['四肢冷', '自汗']",0.015286818449238848
"['小便浊败', '遗尿']",0.003495087537801256
"['久泄', '冷泄']",0.026408465173426487
"['骨节疼痛', '哮喘']",0.011119077883568973
"['面色萎黄', '眩晕']",0.009419186800400603
"['劳倦', '四肢冷']",0.0015209234117583015
"['哮喘', '难产']",0.02146188989862105
"['赤白带不止', '心热']",0.0011035947626309994
"['烦闷', '面色微红']",0.024717232523927213
"['苔黄', '大便燥结']",0.031700153688417484
"['咳嗽', '鼻血']",0.023337357650486446
"['瘦弱', '肢体浮肿']",0.0164146005817547
"['乏力', '经漏']",0.0005383087387492713
"['小便利数', '腹胀']",0.004578999104574155
"['饮食减少', '淋沥不断']",0.001298099577804801
"['劳倦', '烦闷']",0.0011294387782777582
"['带下色红', '久泄']",0.005125146705830308
"['小便利数', '久泄']",0.006491547895937866
"['口苦', '大便燥结']",0.02742233171896774
"['劳倦', '目眩']",0.0003743715428478067
"['哮喘', '霍乱']",0.016115362685547446
"['盗汗', '昏迷']",0.010565433950738057
"['烦闷', '脉滑']",0.01451844633320909
"['带下色黄', '脉滑']",0.01713457936657717
"['饮食减少', '小便利数']",0.00019175535040505398
"['烦闷', '耳鸣']",0.007659663500784841
"['饮食减少', '惊悸']",0.004657524095275645
"['骨节疼痛', '脚膝无力']",0.01615025183467031
"['面色萎黄', '心腹疼痛']",0.0035985003388143144
"['口苦', '涕']",0.020303765459181944
"['白带', '多尿']",0.0003595530306863548
"['赤白带不止', '胸胀胁满']",0.00029433189800953663
"['咳嗽', '半身不遂']",0.00576452418118123
"['烦闷', '自汗']",0.01451844633320909
"['面色萎黄', '胸闷']",0.006622237218436244
